Year,DJX_Return,GDP
2000,5.904783111,2.910631262
2001,-12.0565046,0.189586797
2002,-22.08629062,2.042875736
2003,29.44983819,4.385582939
2004,10.65740741,3.123582312
2005,4.568655343,3.021188488
2006,13.75530127,2.409996831
2007,3.784468205,1.843589179
2008,-38.61325742,-2.76868147
2009,25.70387546,-0.233484858
2010,15.33596838,2.696987056
2011,-0.852943416,1.67424484
2012,13.948844,1.294576188
2013,30.85945399,2.668309901
2014,10.36418895,2.696421964
2015,-1.512252042,1.994670116
2016,10.31230747,1.846812702
2017,18.88559522,2.546851245
